id,name,lat,lon
358950277,Bethany United Methodist Church,39.7184544,-105.0341705
358950281,Bethel Church of Christ,39.760549,-104.9564502
358950284,Bethel Presbyterian Church,39.7383333,-105.0338889
358950289,Bonnie Brae Baptist Church,39.7036537,-104.9583513
358950292,Brentwood United Methodist Church,39.6827778,-105.0302778
358950297,Calvary Baptist Church,39.6536643,-104.9119641
358950301,Calvary Temple,39.7118906,-104.9583979
358950305,Cameron United Methodist Church,39.6873425,-104.9800751
358950309,Campbell Chapel African Methodist Episcopal Church,39.7492244,-104.9692981
358950312,Capitol Heights Presbyterian Church,39.7337981,-104.9526008
358950320,Central Christian Church,39.7097222,-104.9472222
358950323,Chafee Community Baptist Church,39.7875,-105.0127778
358950327,Christ Community Church,39.6536297,-104.8950154
358950331,Christ Congregational Church,39.6738889,-105.0527778
358950334,Christ Episcopal Church,39.6636111,-104.9586111
358950339,Christ Lutheran Church (Mo. Synod),39.6678327,-104.9691871
358950342,Christ The King Lutheran Church,39.6747222,-105.0383333
358950350,Christ Way Community Church,39.6627643,-104.9600021
358950353,Christian Indian Center,39.7073449,-104.9807473
358950357,Church In The City - Beth Abraham,39.7413785,-104.9606585
358950361,Church of All Saints,39.6722222,-105.0266667
358950365,Church of Christ,39.7775152,-104.9538624
358950372,The Church of Jesus Christ of Latter-day Saints,39.6670123,-104.9122157
358950376,The Church of Jesus Christ of Latter-day Saints,39.7079318,-105.0160607
358950380,Church of the Annuciation,39.7671517,-104.9700053
358950383,Church of the Ascension,39.7258966,-104.9667794
358950388,Church of the Good Shepherd,39.7269444,-104.9563889
358950391,Church of the Resurrection,39.7747222,-105.0494444
358950395,Church of the Risen Christ,39.6614142,-104.9122467
358950399,Community of Christ Church,39.7236111,-104.9713889
358950410,Cornerstone Baptist Church of Greater Denver,39.7106243,-105.0363725
358950414,Corona Presbyterian Church,39.7293139,-104.9725708
358950419,Daybreak Outreach Church,39.6983333,-105.0208333
358950424,Denver Community Church,39.6964095,-104.9795935
358950429,Denver First Wesleyan Church,39.6927778,-105.0319444
358950433,Denver Gospel Hall,39.7622222,-104.9675
358950439,Denver Grace Brethren Church,39.7036111,-105.0247222
358950444,Denver Temple Baptist Church,39.7151045,-104.9402403
358950447,East Denver Church of God,39.761543,-104.9132421
358950449,Emmanuel United Methodist Church,39.6675229,-104.9730173
358950453,Emmaus Lutheran Church,39.7611111,-105.0297222
358950460,Epiphany Episcopal Church,39.7182756,-104.9402836
358950466,Epiphany Lutheran Church,39.7022562,-104.9742993
358950473,Eternal Life Temple,39.7033333,-105.035
358950477,Ethiopian Orthodox Church,39.7254233,-104.9806995
358950486,Faith Church of the Nazarene,39.6730556,-105.0525
358950491,Faith Lutheran Church,39.7833333,-105.0233333
358950494,Faith United Methodist Church,39.7622222,-105.0525
358950498,First Avenue Presbyterian Church,39.7181719,-104.9895954
358950504,First Christian Reformed Church,39.683611,-104.9766078
358950508,First Denver Friends Church,39.78,-105.0241667
358950512,Althea Center for Engaged Spirituality,39.7387467,-104.9656358
358950524,First Spanish Baptist Church,39.6752778,-105.0244444
358950527,First Spiritual Science Church,39.6553034,-104.9320532
358950540,Garden Park Mennonite Brethren Church,39.6858333,-105.0166667
358950544,Gethsemane Baptist Church,39.6752778,-105.0175
358950547,Gloveville Community Church,39.7880556,-104.9872222
358950551,Good Shepherd Lutheran Church,39.7025,-105.0244444
358950561,Grace United Methodist Church,39.6681011,-104.9298793
358950566,Grant Avenue Church,39.7127386,-104.9836031
358950571,Greater Harvest Church of God,39.7786111,-104.9863889
358950575,Green Acres Church of the Nazarene,39.6891333,-105.0165655
358950582,Harvey Park Christian Church,39.6561111,-105.0338889
358950589,High Street United Methodist Church,39.7646925,-104.96509
358950601,Highlands Lutheran Church,39.7713889,-105.0302778
358950610,Hillcrest Christian Reformed Church,39.6627778,-104.9644444
358950614,His Love Fellowship Church,39.730738,-104.9998602
358950622,Holy Rosary,39.7816667,-104.98
358950626,Hope Community Church,39.6837459,-104.9831844
358950630,House of Joy Miracle Deliverance,39.7616626,-104.914941
358950633,Iglesia Del Dios Vivo,39.7388889,-105.035
358950640,Iglesia Del Dios Vivos,39.7872222,-104.9511111
358950649,Indian Bible Church,39.7058922,-104.9832633
358950652,Islamic Center of Ahl-Al-Beit,39.7132157,-105.0353449
358950655,Greater Temple of Jerusalem Church,39.7672181,-104.9242981
358950660,John Collins United Methodist Church,39.6747222,-104.99
358950663,Jordan Chapel African Methodist Episcopal Church,39.7585822,-104.9520237
358950666,Kirk of Bonnie Brae Church,39.6945386,-104.9503562
358950671,Korean Central Presbyterian Church,39.6877345,-104.9333199
358950673,Korean Christian Church,39.6895514,-104.9601171
358950677,La Antorcha United Pentecostal Church,39.7852778,-105.0155556
358950680,Landmark Tabernacle,39.6672222,-105.0538889
